stoneKiller;callingStation1;callingStation2;callingStation3
8090;5425;5710;4775
8090;5465;5690;4755
8090;5445;5670;4795
8080;5425;5720;4775
8060;5405;5780;4755
8060;5445;5760;4735
8060;5425;5800;4715
8050;5405;5780;4765
8030;5385;5840;4745
8030;5365;5820;4785
8030;5345;5860;4765
8020;5325;5840;4815
8000;5305;5900;4795
8000;5345;5880;4775
8000;5325;5860;4815
7990;5375;5840;4795
7970;5355;5820;4855
7970;5395;5800;4835
7970;5375;5780;4875
7960;5355;5830;4855
7940;5415;5810;4835
7940;5395;5790;4875
7940;5375;5830;4855
7930;5355;5880;4835
7910;5335;5940;4815
7910;5345;5920;4825
7910;5355;5930;4805
7900;5335;5980;4785
8250;5215;5860;4675
8250;5195;5840;4715
8250;5175;5880;4695
8240;5225;5860;4675
8220;5205;5840;4735
8120;5105;5940;4835
8120;5085;5920;4875
8460;4985;5800;4755
8340;4865;5680;5115
8640;4765;5580;5015
8640;4745;5620;4995
8630;4795;5600;4975
8610;4775;5660;4955
8910;4675;5560;4855
9230;4575;5460;4735
9220;4555;5510;4715
9200;4535;5490;4775
9100;4435;5790;4675
9100;4475;5770;4655
9090;4455;5750;4705
9070;4515;5730;4685
9070;4555;5710;4665
9390;4455;5610;4545
9380;4505;5590;4525
9260;4855;5470;4415
9260;4895;5450;4395
9260;4875;5430;4435
9250;4855;5410;4485
9230;4835;5390;4545
9230;4875;5370;4525
9230;4915;5350;4505
9220;4895;5330;4555
9570;4775;5210;4445
9870;4675;5110;4345
9870;4715;5090;4325
9860;4695;5140;4305
9840;4755;5120;4285
9840;4735;5160;4265
9840;4715;5200;4245
9730;5065;5080;4125
9710;5045;5060;4185
9610;4945;4960;4485
9510;4845;4860;4785
9500;4895;4840;4765
9480;4955;4820;4745
9480;4935;4860;4725
9480;4915;4840;4765
9470;4895;4890;4745
9450;4875;4950;4725
9450;4855;4990;4705
9450;4835;4970;4745
9440;4815;5020;4725
9420;4795;5080;4705
9420;4835;5060;4685
9420;4875;5040;4665
9410;4855;5020;4715
9290;4735;4900;5075
9190;4635;4800;5375
9190;4615;4780;5415
9080;4515;5110;5295
9060;4495;5170;5275
9060;4535;5150;5255
9060;4575;5130;5235
9050;4555;5180;5215
9030;4615;5160;5195
9030;4595;5140;5235
9030;4635;5120;5215
9020;4685;5100;5195
8900;5035;4980;5085
8900;5075;4960;5065
8800;4975;5280;4945
8790;5025;5260;4925
8770;5085;5240;4905
8770;5065;5280;4885
8770;5045;5260;4925
8760;5025;5310;4905
8740;5085;5290;4885
8740;5065;5330;4865
8740;5045;5370;4845
8730;5025;5350;4895
8710;5005;5330;4955
8710;4985;5310;4995
8710;4965;5290;5035
8700;4945;5270;5085
8680;4925;5250;5145
8680;4905;5290;5125
8680;4945;5270;5105
8570;4845;5600;4985
8550;4825;5580;5045
8850;4725;5480;4945
8850;4705;5460;4985
8840;4685;5440;5035
8820;4665;5420;5095
8820;4645;5400;5135
8820;4625;5380;5175
8710;4525;5260;5505
8690;4505;5240;5565
8690;4485;5220;5605
8690;4465;5200;5645
8680;4445;5180;5695
8660;4505;5160;5675
8560;4405;5060;5975
8560;4445;5040;5955
8450;4345;5370;5835
8430;4325;5350;5895
8430;4305;5330;5935
8330;4205;5230;6235
8320;4185;5210;6285
8300;4245;5190;6265
8300;4225;5170;6305
8300;4205;5180;6315
8302;4217;5172;6307
8182;4097;5522;6197
8182;4077;5502;6237
8182;4057;5482;6277
8172;4037;5532;6257
8152;4017;5592;6237
8152;4057;5572;6217
8152;4037;5552;6257
8142;4017;5602;6237
8122;3997;5582;6297
8122;3977;5622;6277
8122;3957;5602;6317
8112;3937;5652;6297
8092;3997;5632;6277
8092;3977;5672;6257
8412;3877;5572;6137
8402;3927;5552;6117
8382;3987;5532;6097
8382;3967;5572;6077
8382;4007;5552;6057
8372;3987;5602;6037
8352;4047;5582;6017
8352;4087;5562;5997
8352;4067;5602;5977
8242;4417;5482;5857
8222;4477;5462;5837
8122;4777;5362;5737
8122;4817;5342;5717
8112;4867;5322;5697
8092;4927;5302;5677
8092;4907;5342;5657
7992;4807;5662;5537
7982;4787;5642;5587
7962;4767;5702;5567
7862;4667;5602;5867
8182;4567;5502;5747
8172;4547;5482;5797
8522;4427;5362;5687
8522;4407;5402;5667
8522;4447;5382;5647
8512;4427;5432;5627
8492;4407;5412;5687
8492;4387;5452;5667
8492;4397;5432;5677
8482;4377;5412;5727
8462;4437;5392;5707
8462;4477;5372;5687
8462;4517;5352;5667
8452;4497;5332;5717
8432;4557;5312;5697
8432;4537;5292;5737
8752;4437;5192;5617
8742;4487;5172;5597
8722;4547;5152;5577
8722;4587;5132;5557
8722;4567;5112;5597
9062;4467;4992;5477
9042;4447;4972;5537
9042;4487;4952;5517
9042;4527;4932;5497
9032;4507;4912;5547
9012;4487;4892;5607
9012;4467;4932;5587
9012;4447;4972;5567
9002;4497;4952;5547
8982;4477;5012;5527
8982;4457;5052;5507
8882;4357;5372;5387
9222;4257;5252;5267
9102;4607;5132;5157
9102;4587;5172;5137
9422;4487;5072;5017
9412;4537;5052;4997
9762;4417;4932;4887
9762;4397;4912;4927
9762;4377;4892;4967
9652;4277;4772;5297
9632;4257;4832;5277
9632;4237;4812;5317
9532;4137;5132;5197
9522;4117;5112;5247
9502;4097;5092;5307
9502;4077;5072;5347
9502;4057;5112;5327
9492;4037;5162;5307
9472;4097;5142;5287
9472;4077;5122;5327
9472;4117;5102;5307
9462;4097;5082;5357
9442;4157;5062;5337
9442;4137;5042;5377
9442;4117;5022;5417
9432;4097;5072;5397
9412;4077;5132;5377
9412;4057;5112;5417
9412;4037;5092;5457
9402;4017;5142;5437
9382;3997;5122;5497
9382;3977;5162;5477
9702;3877;5062;5357
9692;3857;5112;5337
9672;3837;5092;5397
9672;3817;5072;5437
9672;3797;5112;5417
9662;3847;5092;5397
9642;3827;5152;5377
9642;3807;5192;5357
9642;3787;5232;5337
9632;3767;5282;5317
9612;3747;5342;5297
9612;3787;5322;5277
9612;3767;5302;5317
9602;3747;5352;5297
9582;3807;5332;5277
9482;3707;5232;5577
9482;3687;5272;5557
9372;4037;5152;5437
9252;3917;5032;5797
9252;3897;5012;5837
9152;3797;4912;6137
9142;3800;4915;6140
9122;3780;4895;6200
9122;3760;4875;6240
9122;3800;4855;6220
9112;3780;4870;6235
9092;3840;4850;6215
9092;3880;4830;6195
9092;3860;4870;6175
9082;3840;4850;6225
8962;4190;4730;6115
8962;4200;4710;6125
8962;4180;4750;6105
8952;4160;4730;6155
8932;4220;4710;6135
8932;4200;4690;6175
8932;4180;4730;6155
8922;4160;4710;6205
8902;4140;4690;6265
8902;4180;4670;6245
8802;4080;4570;6545
8792;4060;4550;6595
8772;4120;4530;6575
8772;4100;4510;6615
8772;4080;4490;6655
8762;4095;4470;6670
8742;4075;4530;6650
8742;4055;4510;6690
8742;4035;4550;6670
8732;4085;4530;6650
8712;4065;4510;6710
8612;3965;4410;7010
8612;3945;4450;6990
8602;3925;4430;7040
8582;3985;4410;7020
8582;4025;4390;7000
8582;4005;4370;7040
8572;4055;4350;7020
8552;4035;4330;7080
8552;4015;4310;7120
8552;3995;4350;7100
8542;3975;4330;7150
8522;3955;4390;7130
8522;3935;4430;7110
8522;3915;4410;7150
8512;3965;4390;7130
8492;3945;4370;7190
8492;3925;4410;7170
8492;3965;4390;7150
8482;4015;4370;7130
8462;3995;4350;7190
8462;3975;4390;7170
8462;3955;4430;7150
8452;3935;4480;7130
8432;3915;4460;7190
8432;3895;4440;7230
8432;3875;4480;7210
8422;3925;4460;7190
8402;3985;4440;7170
8302;3885;4740;7070
8302;3925;4720;7050
8292;3975;4700;7030
8272;3955;4760;7010
8272;3935;4800;6990
8272;3915;4780;7030
8262;3895;4760;7080
8612;3775;4640;6970
8612;3755;4680;6950
8612;3795;4660;6930
8602;3845;4640;6910
8582;3905;4620;6890
8482;4205;4520;6790
8482;4185;4500;6830
8472;4165;4480;6880
8452;4145;4460;6940
8452;4125;4500;6920
8452;4105;4540;6900
8442;4085;4590;6880
8422;4065;4570;6940
8422;4045;4550;6980
8422;4025;4590;6960
8412;4005;4570;7010
8392;3985;4630;6990
8392;3965;4670;6970
8392;4005;4650;6950
8382;4055;4630;6930
8732;3935;4510;6820
8732;3915;4490;6860
8732;3895;4470;6900
8722;3875;4520;6880
8602;3755;4870;6770
8602;3735;4850;6810
8602;3715;4890;6790
8592;3695;4870;6840
8572;3755;4850;6820
8572;3795;4830;6800
8572;3775;4870;6780
8562;3755;4850;6830
8542;3775;4830;6850
8542;3815;4810;6830
8862;3715;4710;6710
8852;3695;4690;6760
8832;3675;4670;6820
8832;3715;4650;6800
8832;3695;4630;6840
8822;3675;4680;6820
8802;3655;4740;6800
8802;3695;4720;6780
8802;3675;4700;6820
8792;3725;4680;6800
8772;3785;4660;6780
8772;3765;4700;6760
8777;3770;4705;6745
8767;3820;4685;6725
8747;3880;4665;6705
8747;3920;4645;6685
8747;3960;4625;6665
8737;4010;4605;6645
8717;4030;4585;6665
8717;4010;4625;6645
9037;3910;4525;6525
9027;3960;4505;6505
9007;3940;4525;6525
9007;3920;4565;6505
9007;3900;4605;6485
8997;3880;4655;6465
8877;4230;4535;6355
8877;4270;4515;6335
8877;4310;4495;6315
8867;4360;4475;6295
8847;4340;4535;6275
8847;4320;4575;6255
8847;4300;4615;6235
8837;4350;4595;6215
8817;4330;4655;6195
8717;4230;4555;6495
8717;4210;4535;6535
8707;4190;4515;6585
8687;4210;4495;6605
8687;4250;4475;6585
8687;4290;4455;6565
9027;4190;4335;6445
9007;4170;4395;6425
9007;4150;4375;6465
9007;4130;4385;6475
8997;4110;4365;6525
8977;4090;4345;6585
8977;4130;4325;6565
8977;4110;4305;6605
8967;4160;4285;6585
8947;4140;4345;6565
8847;4040;4645;6465
8847;4020;4625;6505
8837;4070;4605;6485
8817;4130;4585;6465
8817;4110;4625;6445
8817;4150;4605;6425
8707;4050;4935;6305
8687;4030;4915;6365
8687;4070;4895;6345
8687;4110;4875;6325
9027;4010;4755;6205
9007;3990;4815;6185
9007;3970;4855;6165
9007;3950;4835;6205
8997;3930;4885;6185
8977;3910;4865;6245
8977;3890;4845;6285
8977;3870;4825;6325
8967;3920;4805;6305
8947;3900;4865;6285
8947;3940;4845;6265
8947;3920;4885;6245
8937;3970;4865;6225
8917;3950;4925;6205
8917;3930;4905;6245
8917;3910;4885;6285
8907;3960;4865;6265
8887;4020;4845;6245
8887;4000;4885;6225
8887;3980;4865;6265
8877;3960;4915;6245
8857;3940;4895;6305
8857;3920;4875;6345
8857;3900;4855;6385
8847;3880;4835;6435
8827;3860;4895;6415
8827;3840;4935;6395
8827;3820;4915;6435
8817;3800;4965;6415
8797;3780;4945;6475
9097;3680;4845;6375
8997;3580;5165;6255
8987;3560;5215;6235
8867;3440;5095;6595
8867;3420;5135;6575
8867;3460;5115;6555
8857;3440;5095;6605
8837;3500;5075;6585
8837;3540;5055;6565
8837;3580;5035;6545
8827;3560;5085;6525
8807;3540;5145;6505
8807;3520;5125;6545
8807;3500;5165;6525
8797;3550;5145;6505
8677;3430;5495;6395
8977;3330;5395;6295
9297;3230;5295;6175
9287;3210;5345;6155
9267;3270;5325;6135
9267;3250;5305;6175
9267;3230;5345;6155
9257;3210;5395;6135
9237;3270;5375;6115
9237;3250;5355;6155
9237;3290;5335;6135
9227;3270;5385;6115
9207;3250;5445;6095
9507;3150;5345;5995
9507;3190;5325;5975
9497;3170;5375;5955
9377;3050;5725;5845
9377;3030;5705;5885
9377;3010;5685;5925
9367;2990;5665;5975
9347;3050;5645;5955
9347;3090;5625;5935
9347;3070;5665;5915
9687;2970;5545;5795
10037;2850;5425;5685
10037;2830;5465;5665
10037;2870;5445;5645
10027;2920;5425;5625
10007;2900;5445;5645
10307;2800;5345;5545
10627;2700;5245;5425
10617;2680;5295;5405
10597;2660;5355;5385
10597;2640;5395;5365
10597;2680;5375;5345
10937;2580;5255;5225
10817;2460;5605;5115
10817;2440;5585;5155
10817;2420;5625;5135
10807;2435;5640;5115
10787;2495;5620;5095
10687;2795;5520;4995
10687;2775;5500;5035
10677;2755;5550;5015
10657;2735;5530;5075
10657;2715;5570;5055
10657;2695;5550;5095
10647;2745;5530;5075
10627;2805;5510;5055
10627;2845;5490;5035
10627;2855;5470;5045
10617;2870;5450;5060
10597;2930;5430;5040
10597;2970;5410;5020
10597;2950;5390;5060
10587;3000;5370;5040
10567;3060;5350;5020
10567;3040;5390;5000
10567;3020;5370;5040
10557;3035;5350;5055
10537;3095;5330;5035
10537;3135;5310;5015
10537;3115;5290;5055
10527;3165;5270;5035
10507;3145;5250;5095
10507;3185;5230;5075
10507;3165;5210;5115
10497;3145;5190;5165
10477;3125;5250;5145
10477;3105;5230;5185
10797;3005;5130;5065
10787;2985;5180;5045
10767;2965;5240;5025
10767;3005;5220;5005
10667;2905;5120;5305
10657;2955;5100;5285
10637;2935;5160;5265
10637;2975;5140;5245
10637;2955;5120;5285
10977;2855;5000;5165
10957;2835;4980;5225
10957;2815;4960;5265
10957;2795;4940;5305
10947;2845;4920;5285
10927;2825;4980;5265
10927;2805;4960;5305
10927;2785;4940;5345
10917;2765;4920;5395
10897;2745;4980;5375
11197;2645;4880;5275
11197;2685;4860;5255
11087;2585;5190;5135
11067;2565;5170;5195
10967;2465;5070;5495
10967;2445;5050;5535
11307;2345;4930;5415
11187;2225;5280;5305
11187;2205;5320;5285
11187;2245;5300;5265
11177;2295;5280;5245
11157;2275;5260;5305
11157;2255;5240;5345
11057;2575;5140;5225
11047;2555;5120;5275
11027;2615;5100;5255
11027;2595;5140;5235
11027;2575;5180;5215
11017;2555;5230;5195
10997;2615;5210;5175
10997;2595;5190;5215
10897;2495;5510;5095
10887;2475;5560;5075
10767;2825;5440;4965
10667;2725;5740;4865
10667;2765;5720;4845
10657;2815;5700;4825
11007;2695;5580;4715
11007;2675;5560;4755
10907;2575;5460;5055
10897;2555;5440;5105
10877;2615;5420;5085
10877;2655;5400;5065
10877;2635;5440;5045
10867;2615;5420;5095
10847;2595;5480;5075
10847;2575;5460;5115
10847;2615;5440;5095
11187;2515;5320;4975
11167;2495;5380;4955
11067;2395;5280;5255
10967;2295;5600;5135
10957;2310;5580;5150
10937;2290;5560;5210
10937;2330;5540;5190
10937;2310;5580;5170
10927;2290;5630;5150
10907;2270;5690;5130
11007;2370;5590;5030
11007;2350;5630;5010
10997;2330;5680;4990
10977;2310;5740;4970
10977;2290;5720;5010
10977;2270;5700;5050
10867;2170;5580;5380
10847;2230;5560;5360
10847;2210;5540;5400
10847;2250;5520;5380
10837;2300;5500;5360
10817;2280;5560;5340
10817;2290;5540;5350
10817;2270;5520;5390
10807;2250;5570;5370
10787;2230;5550;5430
10787;2210;5560;5440
10787;2190;5600;5420
10777;2170;5580;5470
10757;2230;5560;5450
10757;2210;5600;5430
10757;2190;5580;5470
10747;2170;5630;5450
10727;2230;5610;5430
10627;2130;5910;5330
10627;2110;5890;5370
10967;2010;5770;5250
10947;1990;5830;5230
10947;1970;5810;5270
10947;1950;5790;5310
10937;1930;5770;5360
10917;1990;5750;5340
10917;1970;5790;5320
10917;1950;5830;5300
10907;1930;5810;5350
10887;1910;5790;5410
10887;1890;5770;5450
10887;1870;5810;5430
10877;1850;5860;5410
11227;1730;5740;5300
11127;1630;6040;5200
11127;1610;6020;5240
11117;1590;6000;5290
11097;1570;6060;5270
11097;1550;6100;5250
11097;1590;6080;5230
11087;1593;6083;5233
11067;1573;6143;5213
10967;1873;6043;5113
10967;1853;6083;5093
10957;1833;6063;5143
10937;1893;6043;5123
10937;1873;6083;5103
10937;1913;6063;5083
10927;1893;6113;5063
10907;1873;6093;5123
10907;1883;6103;5103
10907;1923;6083;5083
10897;1903;6063;5133
10877;1883;6043;5193
10877;1863;6023;5233
10877;1843;6063;5213
10867;1893;6043;5193
10847;1913;6063;5173
10847;1953;6043;5153
10847;1933;6023;5193
10837;1983;6003;5173
10717;1863;6353;5063
10717;1903;6333;5043
10717;1943;6313;5023
10707;1923;6363;5003
10687;1983;6343;4983
10587;2283;6243;4883
10587;2263;6223;4923
10577;2243;6273;4903
10557;2223;6333;4883
10557;2263;6313;4863
10557;2243;6293;4903
10547;2223;6273;4953
10527;2203;6333;4933
10527;2243;6313;4913
10527;2283;6293;4893
10867;2183;6173;4773
10847;2163;6233;4753
10847;2203;6213;4733
10747;2523;6113;4613
10637;2423;5993;4943
10617;2483;5973;4923
10917;2383;5873;4823
10917;2423;5853;4803
10907;2403;5833;4853
10887;2383;5893;4833
10887;2363;5873;4873
10887;2403;5853;4853
10777;2753;5733;4733
10757;2813;5713;4713
10757;2793;5753;4693
10657;3113;5653;4573
10647;3163;5633;4553
10627;3143;5693;4533
10627;3123;5673;4573
10627;3103;5713;4553
10617;3083;5763;4533
10597;3063;5823;4513
10597;3043;5803;4553
10597;3083;5783;4533
10937;2983;5663;4413
10917;2963;5723;4393
10917;2943;5703;4433
10917;2983;5683;4413
10807;3333;5563;4293
10787;3313;5623;4273
10787;3293;5663;4253
10787;3273;5643;4293
10777;3323;5623;4273
10757;3303;5603;4333
10757;3283;5643;4313
11077;3183;5543;4193
11067;3163;5523;4243
11047;3143;5503;4303
11047;3123;5483;4343
11047;3103;5523;4323
11037;3083;5503;4373
11017;3063;5483;4433
11017;3043;5463;4473
11017;3083;5443;4453
11007;3063;5493;4433
10987;3043;5553;4413
11287;2943;5453;4313
11287;2983;5433;4293
11177;2883;5763;4173
11157;2943;5743;4153
11157;2923;5723;4193
11157;2903;5703;4233
11147;2953;5683;4213
11127;2933;5743;4193
11127;2913;5783;4173
11127;2893;5823;4153
11117;2873;5803;4203
11097;2853;5863;4183
11397;2753;5763;4083
11717;2653;5663;3963
11707;2633;5643;4013
11687;2613;5623;4073
11687;2653;5603;4053
11687;2633;5583;4093
11677;2683;5563;4073
11657;2663;5623;4053
11657;2643;5603;4093
11657;2683;5583;4073
11647;2663;5633;4053
11627;2643;5613;4113
11627;2623;5653;4093
11627;2603;5693;4073
11517;2953;5573;3953
11497;3013;5553;3933
11497;2993;5533;3973
11497;3033;5513;3953
11487;3013;5493;4003
11467;2993;5553;3983
11467;3033;5533;3963
11467;3013;5573;3943
11457;2993;5553;3993
11437;2973;5613;3973
11437;2953;5653;3953
11437;2993;5633;3933
11427;3043;5613;3913
11407;3023;5673;3893
11407;3063;5653;3873
11407;3103;5633;3853
11397;3083;5613;3903
11377;3103;5633;3883
11377;3083;5613;3923
11377;3123;5593;3903
11367;3103;5573;3953
11347;3163;5553;3933
11347;3203;5533;3913
11347;3243;5513;3893
11237;3593;5393;3773
11217;3653;5373;3753
11217;3633;5413;3733
11217;3673;5393;3713
11207;3653;5443;3693
11187;3633;5423;3753
11187;3613;5463;3733
11087;3513;5783;3613
11077;3493;5833;3593
11057;3473;5813;3653
10957;3773;5713;3553
10957;3813;5693;3533
10947;3863;5673;3513
10927;3923;5653;3493
10927;3903;5693;3473
10927;3883;5673;3513
10917;3933;5653;3493
10897;3913;5633;3553
10897;3953;5613;3533
10897;3933;5653;3513
10887;3913;5633;3563
10867;3893;5693;3543
10867;3873;5733;3523
10867;3853;5773;3503
10857;3833;5823;3483
10837;3813;5883;3463
10837;3853;5863;3443
10837;3833;5903;3423
10827;3813;5953;3403
10807;3793;5933;3463
10807;3773;5973;3443
10807;3813;5953;3423
10797;3793;6003;3403
10777;3773;6063;3383
10777;3753;6043;3423
10777;3733;6023;3463
10767;3783;6003;3443
10747;3803;5983;3463
10747;3783;6023;3443
10747;3763;6063;3423
10737;3813;6043;3403
10717;3873;6023;3383
10717;3853;6063;3363
10717;3863;6043;3373
10707;3843;6023;3423
11057;3723;5903;3313
11057;3763;5883;3293
11057;3743;5863;3333
11047;3723;5843;3383
10927;4073;5723;3273
10927;4053;5763;3253
10827;4373;5663;3133
10817;4353;5713;3113
10797;4333;5773;3093
10797;4313;5813;3073
10797;4293;5853;3053
10787;4273;5833;3103
10767;4333;5813;3083
10767;4313;5853;3063
10667;4633;5753;2943
10657;4613;5803;2923
10537;4493;6153;2813
10537;4473;6193;2793
10437;4373;6093;3093
10427;4423;6073;3073
10407;4403;6053;3133
10407;4443;6033;3113
10307;4763;5933;2993
10297;4743;5983;2973
10277;4803;5963;2953
10277;4843;5943;2933
10277;4883;5923;2913
10267;4863;5973;2893
10147;4743;5853;3253
10147;4783;5833;3233
10147;4763;5813;3273
10487;4663;5693;3153
10467;4643;5673;3213
10467;4623;5713;3193
10467;4603;5693;3233
10457;4583;5673;3283
10437;4563;5653;3343
10437;4543;5693;3323
10437;4523;5733;3303
10427;4503;5783;3283
10407;4483;5843;3263
10407;4463;5883;3243
10407;4503;5863;3223
10397;4483;5843;3273
10377;4543;5823;3253
10377;4523;5803;3293
10377;4503;5783;3333
10367;4553;5763;3313
10347;4613;5743;3293
10347;4593;5783;3273
10347;4633;5763;3253
10337;4683;5743;3233
10317;4663;5803;3213
10317;4643;5843;3193
10317;4623;5823;3233
10307;4673;5803;3213
10287;4733;5783;3193
10287;4713;5823;3173
10287;4693;5863;3153
10277;4673;5843;3203
10257;4653;5903;3183
10257;4633;5883;3223
10257;4673;5863;3203
10247;4653;5843;3253
10227;4633;5903;3233
10227;4673;5883;3213
10547;4573;5783;3093
10537;4553;5833;3073
10517;4533;5893;3053
10517;4543;5873;3063
10517;4583;5853;3043
10507;4563;5833;3093
10487;4543;5893;3073
10487;4523;5933;3053
10487;4503;5973;3033
10377;4403;6303;2913
10357;4383;6363;2893
10357;4423;6343;2873
10357;4403;6323;2913
10347;4383;6373;2893
10697;4263;6253;2783
10697;4303;6233;2763
10697;4283;6273;2743
10587;4183;6153;3073
10567;4163;6133;3133
10467;4063;6033;3433
10367;4383;5933;3313
10257;4283;5813;3643
10237;4263;5873;3623
10337;4163;5973;3523
10337;4203;5953;3503
10327;4253;5933;3483
10307;4233;5993;3463
10307;4213;5973;3503
10312;4218;5978;3488
10302;4198;5958;3538
10182;4078;6308;3428
10182;4118;6288;3408
10182;4098;6328;3388
10172;4078;6378;3368
10522;3958;6258;3258
10522;3938;6298;3238
10522;3918;6278;3278
10512;3898;6258;3328
10492;3878;6318;3308
10392;3778;6218;3608
10392;3758;6198;3648
10382;3808;6178;3628
10362;3868;6158;3608
10262;3768;6058;3908
10262;3748;6038;3948
10252;3728;6088;3928
10232;3708;6148;3908
10232;3718;6128;3918
10232;3698;6168;3898
10222;3678;6183;3913
10202;3658;6163;3973
10202;3698;6143;3953
10202;3678;6183;3933
10192;3728;6163;3913
10172;3708;6223;3893
10172;3688;6263;3873
10172;3728;6243;3853
10162;3708;6293;3833
10142;3688;6273;3893
10042;3588;6173;4193
10042;3628;6153;4173
10032;3678;6133;4153
10012;3738;6113;4133
10012;3718;6153;4113
10012;3698;6193;4093
10002;3678;6173;4143
9982;3738;6153;4123
9982;3778;6133;4103
9982;3758;6113;4143
9972;3808;6093;4123
9952;3788;6153;4103
9952;3768;6193;4083
9952;3748;6173;4123
9942;3798;6153;4103
9922;3778;6213;4083
9922;3818;6193;4063
10242;3718;6093;3943
10232;3698;6073;3993
10112;3578;5953;4353
10112;3558;5993;4333
10112;3538;5973;4373
10102;3588;5953;4353
10082;3648;5933;4333
10082;3688;5913;4313
10082;3668;5953;4293
10072;3648;5933;4343
10052;3628;5993;4323
10052;3668;5973;4303
10052;3708;5953;4283
10392;3608;5833;4163
10372;3588;5813;4223
10372;3568;5853;4203
10372;3608;5833;4183
